"Ref_count","Alt_count","Marker"
40,44,"Truncal"
50,48,"Truncal"
48,35,"Truncal"
47,43,"Truncal"
49,39,"Truncal"
51,55,"Truncal"
58,60,"Truncal"
44,56,"Truncal"
42,44,"Truncal"
42,42,"Truncal"
45,57,"Truncal"
44,40,"Truncal"
41,44,"Truncal"
44,48,"Truncal"
49,50,"Truncal"
47,61,"Truncal"
48,60,"Truncal"
34,51,"Truncal"
46,56,"Truncal"
51,42,"Truncal"
57,49,"Truncal"
49,49,"Truncal"
47,52,"Truncal"
50,49,"Truncal"
39,39,"Truncal"
52,50,"Truncal"
52,37,"Truncal"
61,51,"Truncal"
44,42,"Truncal"
41,49,"Truncal"
32,68,"Truncal"
42,54,"Truncal"
46,38,"Truncal"
51,57,"Truncal"
51,53,"Truncal"
37,39,"Truncal"
47,51,"Truncal"
55,51,"Truncal"
55,46,"Truncal"
50,49,"Truncal"
45,42,"Truncal"
58,46,"Truncal"
51,51,"Truncal"
42,63,"Truncal"
53,60,"Truncal"
50,50,"Truncal"
53,43,"Truncal"
55,54,"Truncal"
47,60,"Truncal"
56,55,"Truncal"
46,41,"Truncal"
45,50,"Truncal"
49,48,"Truncal"
57,38,"Truncal"
35,47,"Truncal"
52,48,"Truncal"
44,48,"Truncal"
54,62,"Truncal"
36,55,"Truncal"
56,72,"Truncal"
52,43,"Truncal"
57,47,"Truncal"
53,57,"Truncal"
53,52,"Truncal"
42,49,"Truncal"
61,40,"Truncal"
39,47,"Truncal"
51,50,"Truncal"
57,59,"Truncal"
51,33,"Truncal"
43,47,"Truncal"
47,50,"Truncal"
54,50,"Truncal"
55,49,"Truncal"
59,60,"Truncal"
58,62,"Truncal"
48,56,"Truncal"
54,52,"Truncal"
44,61,"Truncal"
38,48,"Truncal"
52,40,"Truncal"
44,47,"Truncal"
37,56,"Truncal"
44,65,"Truncal"
57,44,"Truncal"
52,53,"Truncal"
48,53,"Truncal"
54,52,"Truncal"
44,50,"Truncal"
56,37,"Truncal"
59,51,"Truncal"
52,51,"Truncal"
55,52,"Truncal"
49,56,"Truncal"
52,58,"Truncal"
51,58,"Truncal"
34,49,"Truncal"
45,60,"Truncal"
42,51,"Truncal"
44,50,"Truncal"
39,48,"Truncal"
56,57,"Truncal"
51,49,"Truncal"
39,52,"Truncal"
49,57,"Truncal"
63,59,"Truncal"
54,56,"Truncal"
50,51,"Truncal"
55,47,"Truncal"
59,48,"Truncal"
45,52,"Truncal"
63,51,"Truncal"
66,63,"Truncal"
50,49,"Truncal"
53,55,"Truncal"
53,51,"Truncal"
36,51,"Truncal"
46,43,"Truncal"
40,55,"Truncal"
58,56,"Truncal"
44,54,"Truncal"
53,50,"Truncal"
44,60,"Truncal"
44,44,"Truncal"
40,50,"Truncal"
53,40,"Truncal"
55,47,"Truncal"
52,54,"Truncal"
57,34,"Truncal"
44,53,"Truncal"
48,58,"Truncal"
47,42,"Truncal"
53,45,"Truncal"
54,54,"Truncal"
54,59,"Truncal"
57,53,"Truncal"
60,51,"Truncal"
45,42,"Truncal"
47,37,"Truncal"
51,57,"Truncal"
45,58,"Truncal"
49,38,"Truncal"
48,41,"Truncal"
45,56,"Truncal"
46,56,"Truncal"
56,47,"Truncal"
52,54,"Truncal"
53,48,"Truncal"
60,43,"Truncal"
54,65,"Truncal"
50,44,"Truncal"
51,71,"Truncal"
46,42,"Truncal"
56,47,"Truncal"
47,52,"Truncal"
51,41,"Truncal"
49,45,"Truncal"
63,57,"Truncal"
53,51,"Truncal"
61,57,"Truncal"
46,81,"Truncal"
57,57,"Truncal"
59,48,"Truncal"
46,38,"Truncal"
48,45,"Truncal"
42,69,"Truncal"
58,40,"Truncal"
46,47,"Truncal"
59,54,"Truncal"
33,51,"Truncal"
45,55,"Truncal"
69,43,"Truncal"
47,50,"Truncal"
45,42,"Truncal"
60,47,"Truncal"
54,49,"Truncal"
36,63,"Truncal"
51,45,"Truncal"
54,52,"Truncal"
41,65,"Truncal"
40,49,"Truncal"
55,51,"Truncal"
61,51,"Truncal"
52,61,"Truncal"
48,44,"Truncal"
44,36,"Truncal"
49,55,"Truncal"
42,57,"Truncal"
49,48,"Truncal"
44,55,"Truncal"
63,50,"Truncal"
55,47,"Truncal"
57,50,"Truncal"
61,53,"Truncal"
42,56,"Truncal"
57,47,"Truncal"
42,44,"Truncal"
61,41,"Truncal"
55,47,"Truncal"
52,53,"Truncal"
55,46,"Truncal"
56,46,"Truncal"
43,45,"Truncal"
51,61,"Truncal"
46,41,"Truncal"
49,59,"Truncal"
49,46,"Truncal"
56,45,"Truncal"
50,55,"Truncal"
53,37,"Truncal"
52,52,"Truncal"
63,55,"Truncal"
46,61,"Truncal"
59,48,"Truncal"
49,58,"Truncal"
64,55,"Truncal"
45,58,"Truncal"
41,48,"Truncal"
55,56,"Truncal"
44,37,"Truncal"
53,46,"Truncal"
42,56,"Truncal"
50,45,"Truncal"
43,47,"Truncal"
44,55,"Truncal"
45,52,"Truncal"
59,59,"Truncal"
50,46,"Truncal"
50,44,"Truncal"
61,48,"Truncal"
43,51,"Truncal"
51,41,"Truncal"
52,48,"Truncal"
50,45,"Truncal"
46,52,"Truncal"
53,49,"Truncal"
52,42,"Truncal"
54,46,"Truncal"
40,56,"Truncal"
63,62,"Truncal"
49,38,"Truncal"
59,41,"Truncal"
41,75,"Truncal"
51,51,"Truncal"
46,53,"Truncal"
47,61,"Truncal"
37,39,"Truncal"
43,55,"Truncal"
49,50,"Truncal"
48,60,"Truncal"
56,50,"Truncal"
48,51,"Truncal"
39,63,"Truncal"
54,53,"Truncal"
46,42,"Truncal"
55,54,"Truncal"
37,50,"Truncal"
54,49,"Truncal"
51,50,"Truncal"
54,54,"Truncal"
40,41,"Truncal"
50,43,"Truncal"
56,63,"Truncal"
55,45,"Truncal"
42,58,"Truncal"
35,47,"Truncal"
34,59,"Truncal"
44,56,"Truncal"
34,47,"Truncal"
57,45,"Truncal"
57,49,"Truncal"
41,48,"Truncal"
56,55,"Truncal"
44,50,"Truncal"
35,41,"Truncal"
45,47,"Truncal"
40,50,"Truncal"
44,49,"Truncal"
63,50,"Truncal"
57,51,"Truncal"
43,57,"Truncal"
47,58,"Truncal"
49,47,"Truncal"
50,50,"Truncal"
56,46,"Truncal"
49,43,"Truncal"
59,55,"Truncal"
47,44,"Truncal"
51,53,"Truncal"
53,51,"Truncal"
47,46,"Truncal"
44,54,"Truncal"
61,54,"Truncal"
52,53,"Truncal"
34,44,"Truncal"
41,56,"Truncal"
49,59,"Truncal"
57,48,"Truncal"
54,48,"Truncal"
44,56,"Truncal"
53,57,"Truncal"
47,47,"Truncal"
53,61,"Truncal"
52,44,"Truncal"
42,53,"Truncal"
40,56,"Truncal"
56,47,"Truncal"
59,41,"Truncal"
49,64,"Truncal"
47,52,"Truncal"
47,54,"Truncal"
45,44,"Truncal"
51,44,"Truncal"
49,50,"Truncal"
46,49,"Truncal"
50,60,"Truncal"
47,65,"Truncal"
36,54,"Truncal"
59,40,"Truncal"
39,57,"Truncal"
63,60,"Truncal"
61,47,"Truncal"
42,55,"Truncal"
49,37,"Truncal"
45,61,"Truncal"
46,52,"Truncal"
46,56,"Truncal"
55,58,"Truncal"
45,35,"Truncal"
51,51,"Truncal"
44,45,"Truncal"
52,49,"Truncal"
41,62,"Truncal"
54,53,"Truncal"
36,49,"Truncal"
60,56,"Truncal"
62,49,"Truncal"
54,31,"Truncal"
40,54,"Truncal"
55,48,"Truncal"
46,40,"Truncal"
50,54,"Truncal"
45,53,"Truncal"
45,57,"Truncal"
50,37,"Truncal"
50,55,"Truncal"
53,55,"Truncal"
58,53,"Truncal"
58,52,"Truncal"
52,53,"Truncal"
65,54,"Truncal"
55,43,"Truncal"
54,39,"Truncal"
42,61,"Truncal"
45,49,"Truncal"
57,51,"Truncal"
41,53,"Truncal"
52,45,"Truncal"
45,52,"Truncal"
46,60,"Truncal"
54,36,"Truncal"
48,35,"Truncal"
61,50,"Truncal"
47,59,"Truncal"
51,66,"Truncal"
41,61,"Truncal"
65,45,"Truncal"
58,54,"Truncal"
61,32,"Truncal"
65,66,"Truncal"
54,21,"Foreground_0"
82,22,"Foreground_0"
71,25,"Foreground_0"
72,24,"Foreground_0"
71,25,"Foreground_0"
68,20,"Foreground_0"
63,36,"Foreground_0"
87,29,"Foreground_0"
71,21,"Foreground_0"
86,27,"Foreground_0"
75,20,"Foreground_0"
68,24,"Foreground_0"
60,28,"Foreground_0"
66,24,"Foreground_0"
94,15,"Foreground_0"
65,21,"Foreground_0"
77,29,"Foreground_0"
69,30,"Foreground_0"
73,28,"Foreground_0"
67,19,"Foreground_0"
65,15,"Foreground_0"
74,22,"Foreground_0"
74,26,"Foreground_0"
58,24,"Foreground_0"
85,20,"Foreground_0"
70,23,"Foreground_0"
79,30,"Foreground_0"
70,30,"Foreground_0"
85,25,"Foreground_0"
83,28,"Foreground_0"
76,21,"Foreground_0"
67,30,"Foreground_0"
68,30,"Foreground_0"
76,23,"Foreground_0"
85,25,"Foreground_0"
87,20,"Foreground_0"
88,31,"Foreground_0"
72,24,"Foreground_0"
86,33,"Foreground_0"
72,19,"Foreground_0"
74,27,"Foreground_0"
66,21,"Foreground_0"
75,25,"Foreground_0"
71,20,"Foreground_0"
58,30,"Foreground_0"
71,33,"Foreground_0"
70,23,"Foreground_0"
62,15,"Foreground_0"
70,26,"Foreground_0"
86,23,"Foreground_0"
82,29,"Foreground_0"
84,22,"Foreground_0"
64,37,"Foreground_0"
66,29,"Foreground_0"
60,21,"Foreground_0"
54,27,"Foreground_0"
74,27,"Foreground_0"
84,18,"Foreground_0"
60,32,"Foreground_0"
77,26,"Foreground_0"
85,31,"Foreground_0"
70,21,"Foreground_0"
76,30,"Foreground_0"
82,27,"Foreground_0"
86,5,"Foreground_0"
103,5,"Foreground_0"
93,16,"Foreground_0"
69,10,"Foreground_0"
85,7,"Foreground_0"
79,16,"Foreground_0"
85,22,"Foreground_0"
80,21,"Foreground_0"
96,21,"Foreground_0"
79,20,"Foreground_0"
74,25,"Foreground_0"
85,17,"Foreground_0"
87,20,"Foreground_0"
63,27,"Foreground_0"
74,25,"Foreground_0"
71,18,"Foreground_0"
71,28,"Foreground_0"
70,25,"Foreground_0"
81,23,"Foreground_0"
74,22,"Foreground_0"
76,25,"Foreground_0"
72,18,"Foreground_0"
100,18,"Foreground_0"
77,22,"Foreground_0"
90,20,"Foreground_0"
69,18,"Foreground_0"
83,15,"Foreground_0"
77,19,"Foreground_0"
92,19,"Foreground_0"
97,18,"Foreground_0"
80,20,"Foreground_0"
86,9,"Foreground_0"
100,8,"Foreground_0"
95,6,"Foreground_0"
114,6,"Foreground_0"
109,5,"Foreground_0"
88,5,"Foreground_0"
91,9,"Foreground_0"
102,4,"Foreground_0"
77,9,"Foreground_0"
100,8,"Foreground_0"
88,9,"Foreground_0"
90,7,"Foreground_0"
99,5,"Foreground_0"
81,8,"Foreground_0"
103,10,"Foreground_0"
111,9,"Foreground_0"
90,10,"Foreground_0"
97,5,"Foreground_0"
106,4,"Foreground_0"
88,9,"Foreground_0"
93,9,"Foreground_0"
94,7,"Foreground_0"
110,6,"Foreground_0"
103,4,"Foreground_0"
92,4,"Foreground_0"
107,9,"Foreground_0"
82,12,"Foreground_0"
73,13,"Foreground_0"
83,10,"Foreground_0"
83,15,"Foreground_0"
84,18,"Foreground_0"
85,10,"Foreground_0"
95,15,"Foreground_0"
88,10,"Foreground_0"
96,14,"Foreground_0"
97,4,"Foreground_0"
88,18,"Foreground_0"
85,19,"Foreground_0"
100,15,"Foreground_0"
65,13,"Foreground_0"
91,24,"Foreground_0"
76,15,"Foreground_0"
80,21,"Foreground_0"
81,19,"Foreground_0"
76,17,"Foreground_0"
91,16,"Foreground_0"
76,13,"Foreground_0"
93,17,"Foreground_0"
83,16,"Foreground_0"
71,16,"Foreground_0"
89,21,"Foreground_0"
79,20,"Foreground_0"
96,11,"Foreground_0"
96,16,"Foreground_0"
86,17,"Foreground_0"
85,26,"Foreground_0"
66,27,"Foreground_0"
92,21,"Foreground_0"
94,13,"Foreground_0"
94,15,"Foreground_0"
81,17,"Foreground_0"
80,12,"Foreground_0"
84,21,"Foreground_0"
70,18,"Foreground_0"
88,22,"Foreground_0"
81,13,"Foreground_0"
89,11,"Foreground_0"
88,17,"Foreground_0"
79,13,"Foreground_0"
78,19,"Foreground_0"
81,16,"Foreground_0"
81,8,"Foreground_0"
83,11,"Foreground_0"
74,8,"Foreground_0"
101,8,"Foreground_0"
85,14,"Foreground_0"
78,13,"Foreground_0"
80,9,"Foreground_0"
96,16,"Foreground_0"
96,4,"Foreground_0"
72,10,"Foreground_0"
76,8,"Foreground_0"
110,5,"Foreground_0"
81,5,"Foreground_0"
101,4,"Foreground_0"
98,5,"Foreground_0"
104,7,"Foreground_0"
102,4,"Foreground_0"
87,5,"Foreground_0"
105,4,"Foreground_0"
107,7,"Foreground_0"
92,6,"Foreground_0"
96,5,"Foreground_0"
97,4,"Foreground_0"
95,9,"Foreground_0"
86,8,"Foreground_0"
94,9,"Foreground_0"
80,6,"Foreground_0"
90,7,"Foreground_0"
110,4,"Foreground_0"
94,12,"Foreground_0"
95,4,"Foreground_0"
87,7,"Foreground_0"
102,8,"Foreground_0"
93,11,"Foreground_0"
93,7,"Foreground_0"
86,9,"Foreground_0"
93,4,"Foreground_0"
97,8,"Foreground_0"
90,5,"Foreground_0"
77,6,"Foreground_0"
94,4,"Foreground_0"
93,5,"Foreground_0"
67,7,"Foreground_0"
89,8,"Foreground_0"
83,4,"Foreground_0"
93,6,"Foreground_0"
103,5,"Foreground_0"
108,9,"Foreground_0"
97,4,"Foreground_0"
94,6,"Foreground_0"
79,10,"Foreground_0"
106,4,"Foreground_0"
99,4,"Foreground_0"
87,6,"Foreground_0"
80,5,"Foreground_0"
88,7,"Foreground_0"
97,5,"Foreground_0"
103,5,"Foreground_0"
86,5,"Foreground_0"
87,6,"Foreground_0"
96,7,"Foreground_0"
109,10,"Foreground_0"
87,4,"Foreground_0"
86,5,"Foreground_0"
86,4,"Foreground_0"
85,10,"Foreground_0"
100,7,"Foreground_0"
87,8,"Foreground_0"
98,4,"Foreground_0"
80,5,"Foreground_0"
85,7,"Foreground_0"
87,5,"Foreground_0"
106,6,"Foreground_0"
89,4,"Foreground_0"
102,11,"Foreground_0"
87,4,"Foreground_0"
85,7,"Foreground_0"
84,5,"Foreground_0"
92,8,"Foreground_0"
96,7,"Foreground_0"
97,9,"Foreground_0"
91,7,"Foreground_0"
105,5,"Foreground_0"
86,6,"Foreground_0"
95,5,"Foreground_0"
81,9,"Foreground_0"
86,9,"Foreground_0"
87,9,"Foreground_0"
91,5,"Foreground_0"
90,6,"Foreground_0"
90,7,"Foreground_0"
105,7,"Foreground_0"
77,4,"Foreground_0"
87,8,"Foreground_0"
81,11,"Foreground_0"
88,6,"Foreground_0"
80,6,"Foreground_0"
87,7,"Foreground_0"
102,7,"Foreground_0"
117,5,"Foreground_0"
92,5,"Foreground_0"
90,6,"Foreground_0"
79,4,"Foreground_0"
99,7,"Foreground_0"
90,8,"Foreground_0"
93,7,"Foreground_0"
99,8,"Foreground_0"
96,6,"Foreground_0"
104,5,"Foreground_0"
109,10,"Foreground_0"
100,6,"Foreground_0"
69,10,"Foreground_0"
94,6,"Foreground_0"
112,7,"Foreground_0"
107,4,"Foreground_0"
93,4,"Foreground_0"
86,6,"Foreground_0"
88,5,"Foreground_0"
91,11,"Foreground_0"
89,8,"Foreground_0"
99,10,"Foreground_0"
101,6,"Foreground_0"
98,10,"Foreground_0"
79,7,"Foreground_0"
108,9,"Foreground_0"
108,6,"Foreground_0"
99,5,"Foreground_0"
87,4,"Foreground_0"
102,7,"Foreground_0"
102,13,"Foreground_0"
96,7,"Foreground_0"
79,12,"Foreground_0"
111,5,"Foreground_0"
95,10,"Foreground_0"
115,11,"Foreground_0"
97,8,"Foreground_0"
101,5,"Foreground_0"
86,7,"Foreground_0"
108,5,"Foreground_0"
83,6,"Foreground_0"
85,8,"Foreground_0"
90,7,"Foreground_0"
84,4,"Foreground_0"
108,4,"Foreground_0"
82,4,"Foreground_0"
109,4,"Foreground_0"
109,6,"Foreground_0"
86,5,"Foreground_0"
97,5,"Foreground_0"
94,5,"Foreground_0"
102,4,"Foreground_0"
92,4,"Foreground_0"
99,5,"Foreground_0"
89,6,"Foreground_0"
91,6,"Foreground_0"
83,4,"Foreground_0"
93,5,"Foreground_0"
98,4,"Foreground_0"
102,5,"Foreground_0"
81,4,"Foreground_0"
91,5,"Foreground_0"
109,6,"Foreground_0"
111,4,"Foreground_0"
104,4,"Foreground_0"
109,5,"Foreground_0"
98,4,"Foreground_0"
97,4,"Foreground_0"
73,5,"Foreground_0"
90,4,"Foreground_0"
113,6,"Foreground_0"
111,6,"Foreground_0"
106,5,"Foreground_0"
97,10,"Foreground_0"
80,4,"Foreground_0"
97,4,"Foreground_0"
76,5,"Foreground_0"
91,4,"Foreground_0"
98,5,"Foreground_0"
96,7,"Foreground_0"
96,4,"Foreground_0"
103,9,"Foreground_0"
112,6,"Foreground_0"
98,4,"Foreground_0"
79,4,"Foreground_0"
111,7,"Foreground_0"
98,6,"Foreground_0"
95,4,"Foreground_0"
85,4,"Foreground_0"
90,4,"Foreground_0"
107,6,"Foreground_0"
87,5,"Foreground_0"
117,5,"Foreground_0"
91,4,"Foreground_0"
92,7,"Foreground_0"
91,5,"Foreground_0"
80,7,"Foreground_0"
103,4,"Foreground_0"
109,6,"Foreground_0"
87,5,"Foreground_0"
108,7,"Foreground_0"
101,4,"Foreground_0"
92,6,"Foreground_0"
94,6,"Foreground_0"
84,4,"Foreground_0"
95,5,"Foreground_0"
102,6,"Foreground_0"
97,5,"Foreground_0"
88,4,"Foreground_0"
110,4,"Foreground_0"
96,6,"Foreground_0"
109,5,"Foreground_0"
93,4,"Foreground_0"
97,5,"Foreground_0"
98,5,"Foreground_0"
99,5,"Foreground_0"
88,5,"Foreground_0"
111,6,"Foreground_0"
102,5,"Foreground_0"
86,4,"Foreground_0"
98,5,"Foreground_0"
93,5,"Foreground_0"
99,4,"Foreground_0"
103,4,"Foreground_0"
103,5,"Foreground_0"
110,5,"Foreground_0"
94,6,"Foreground_0"
100,6,"Foreground_0"
108,4,"Foreground_0"
91,5,"Foreground_0"
87,4,"Foreground_0"
98,4,"Foreground_0"
106,5,"Foreground_0"
106,5,"Foreground_0"
106,4,"Foreground_0"
97,4,"Foreground_0"
103,4,"Foreground_0"
100,4,"Foreground_0"
107,4,"Foreground_0"
110,5,"Foreground_0"
116,5,"Foreground_0"
108,4,"Foreground_0"
110,4,"Foreground_0"
92,4,"Foreground_0"
94,4,"Foreground_0"
89,4,"Foreground_0"
88,6,"Foreground_0"
90,4,"Foreground_0"
90,4,"Foreground_0"
89,8,"Foreground_0"
106,6,"Foreground_0"
90,4,"Foreground_0"
96,4,"Foreground_0"
91,6,"Foreground_0"
92,5,"Foreground_0"
102,5,"Foreground_0"
78,7,"Foreground_0"
103,5,"Foreground_0"
107,7,"Foreground_0"
107,4,"Foreground_0"
98,5,"Foreground_0"
112,4,"Foreground_0"
102,4,"Foreground_0"
91,6,"Foreground_0"
110,5,"Foreground_0"
86,4,"Foreground_0"
107,4,"Foreground_0"
91,4,"Foreground_0"
93,4,"Foreground_0"
104,4,"Foreground_0"
97,4,"Foreground_0"
106,4,"Foreground_0"
93,6,"Foreground_0"
113,7,"Foreground_0"
95,4,"Foreground_0"
103,4,"Foreground_0"
106,5,"Foreground_0"
107,4,"Foreground_0"
76,6,"Foreground_0"
105,4,"Foreground_0"
103,4,"Foreground_0"
109,4,"Foreground_0"
91,5,"Foreground_0"
94,4,"Foreground_0"
115,4,"Foreground_0"
92,4,"Foreground_0"
94,4,"Foreground_0"
102,4,"Foreground_0"
